ID,y_true,catboost_pred,tempcnn_pred,WorldCover_Code,WorldCover_Class
ID_CWCD60FGJJYY,0,0,0,10,Tree cover
ID_5QV3RGD8E6L6,1,1,1,40,Cropland
ID_OGEL0LA7Y94S,0,0,0,10,Tree cover
ID_O4CHBAKY74WZ,1,1,1,40,Cropland
ID_7VVCEG83E9SF,0,0,0,10,Tree cover
ID_NBUO51LOXDEH,1,1,1,40,Cropland
ID_S4FZH0QBZOPN,0,0,0,40,Cropland
ID_RJD8BACKOCFA,0,0,0,20,Shrubland
ID_WCVQ3NFKNRJ2,0,0,0,50,Built-up
ID_XFF0KHBYXV6S,1,1,1,40,Cropland
ID_3DRUZOA3UAGE,1,1,1,40,Cropland
ID_DAOBPJI382OT,1,1,1,10,Tree cover
ID_3PR0OWONVC1U,0,0,0,20,Shrubland
ID_7RT6AGC8VZMB,1,1,1,40,Cropland
ID_TZ41S7PT1ZYC,1,1,1,40,Cropland
ID_78PK6N1TP36H,1,1,1,40,Cropland
ID_PDHX6WPOVWRB,1,1,1,40,Cropland
ID_ZPO98G9T796H,1,1,1,40,Cropland
ID_0W9340EJVHD2,1,1,1,40,Cropland
ID_B3ORMFDAYD1U,0,0,0,10,Tree cover
ID_LDCQIN7Q7D3A,1,1,1,40,Cropland
ID_GXCBEEGED0L5,0,0,0,40,Cropland
ID_9DCL29DYP54J,1,1,1,40,Cropland
ID_YNDJOQF1N0VW,0,0,0,30,Grassland
ID_81HMDUBS3XH7,1,1,1,40,Cropland
ID_AD3YDZL1XCH5,1,1,1,40,Cropland
ID_D7LUTUIQZ7FS,0,0,0,10,Tree cover
ID_GT3TWM2QR2I7,1,1,1,40,Cropland
ID_JFOA025TW7YZ,0,0,0,10,Tree cover
ID_TDXUMBV0TZKA,1,1,1,40,Cropland
ID_IKBRZSO6S1P2,0,0,0,40,Cropland
ID_TGWAMP5RB1MT,0,0,0,10,Tree cover
ID_I786J48HNOGL,1,1,1,10,Tree cover
